Qatar,2021-03-31,816484,100000,0,2021-03-31,634,
Romania,2021-03-31,3088292,2015307,1072985,2021-03-31,642,
Russia,2021-03-31,11373572,7004336,4369236,2021-03-31,643,
Rwanda,2021-03-31,348926,348926,0,2021-03-31,646,
Saint Kitts and Nevis,2021-03-31,8573,8573,0,2021-03-31,659,
Saint Lucia,2021-03-31,22357,20247,0,2021-03-31,662,
Saint Vincent and the Grenadines,2021-03-31,10519,0,0,2021-03-31,670,
San Marino,2021-03-31,12341,8818,3523,2021-03-31,674,
Saudi Arabia,2021-03-31,4414986,0,0,2021-03-31,682,
Senegal,2021-03-31,260754,260754,0,2021-03-31,686,
Serbia,2021-03-31,2444395,1428888,1015507,2021-03-31,688,
Seychelles,2021-03-31,100552,63686,36866,2021-03-31,690,
Sierra Leone,2021-03-31,31889,31889,0,2021-03-31,694,
Singapore,2021-03-31,1318912,943307,375605,2021-03-31,702,
Slovakia,2021-03-31,996775,732564,264211,2021-03-31,703,
Slovenia,2021-03-31,370549,255882,114667,2021-03-31,705,
Solomon Islands,2021-03-31,2000,2000,0,2021-03-31,90,
South Africa,2021-03-31,263878,263878,263878,2021-03-31,710,
Spain,2021-03-31,8035160,5314076,2721084,2021-03-31,724,
Sri Lanka,2021-03-31,913219,913219,0,2021-03-31,144,
Sudan,2021-03-31,0,0,0,2021-03-31,729,
Suriname,2021-03-31,26057,26057,0,2021-03-31,740,
Sweden,2021-03-31,1609628,1119501,490127,2021-03-31,752,
Switzerland,2021-03-31,1529838,956281,573557,2021-03-31,756,
Syria,2021-03-31,0,0,0,2021-03-31,760,
Taiwan*,2021-03-31,14400,14400,0,2021-03-31,,
Thailand,2021-03-31,180477,151413,29064,2021-03-31,764,
Togo,2021-03-31,42092,42092,0,2021-03-31,768,
Trinidad and Tobago,2021-03-31,991,991,0,2021-03-31,780,
Tunisia,2021-03-31,53089,53089,0,2021-03-31,788,
Turkey,2021-03-31,15834787,8994454,6840333,2021-03-31,792,
Uganda,2021-03-31,90196,90196,0,2021-03-31,800,
Ukraine,2021-03-31,248736,248734,2,2021-03-31,804,
United Arab Emirates,2021-03-31,8308469,3480415,2187849,2021-03-31,784,
United Kingdom,2021-03-31,35660902,31147444,4513458,2021-03-31,826,
Uruguay,2021-03-31,672971,622671,50300,2021-03-31,858,
US,2021-03-31,150273292,97593290,54607041,2021-03-31,840,
Uzbekistan,2021-03-31,0,0,0,2021-03-31,860,
Venezuela,2021-03-31,14223,14223,0,2021-03-31,862,
Vietnam,2021-03-31,49743,49743,0,2021-03-31,704,
World,2021-03-31,599373987,341281105,131695569,2021-03-31,,
Zimbabwe,2021-03-31,91880,76995,14885,2021-03-31,716,
Albania,2021-04-30,476903,6073,655,2021-04-30,8,
Andorra,2021-04-30,28503,23822,4681,2021-04-30,20,
Argentina,2021-04-30,7865213,6926650,938563,2021-04-30,32,
Australia,2021-04-30,2179544,159294,0,2021-04-30,36,
Austria,2021-04-30,3150119,2301285,848887,2021-04-30,40,
Azerbaijan,2021-04-30,1488218,966132,522086,2021-04-30,31,
Bahrain,2021-04-30,1235170,693423,541747,2021-04-30,48,
Bangladesh,2021-04-30,8625350,5819656,2805694,2021-04-30,50,
Barbados,2021-04-30,74218,74218,0,2021-04-30,52,
Belgium,2021-04-30,3901423,3062208,842085,2021-04-30,56,
Belize,2021-04-30,42100,42100,0,2021-04-30,84,
Bhutan,2021-04-30,480422,480422,0,2021-04-30,64,
Bolivia,2021-04-30,762044,547471,214573,2021-04-30,68,
Botswana,2021-04-30,49882,49882,0,2021-04-30,72,
Brazil,2021-04-30,42698862,29149512,13549350,2021-04-30,76,
Bulgaria,2021-04-30,815463,602109,213354,2021-04-30,100,
Cambodia,2021-04-30,2284788,1339566,945222,2021-04-30,116,
Canada,2021-04-30,13420198,12330084,1090114,2021-04-30,124,
Chile,2021-04-30,14880788,8140356,6740432,2021-04-30,152,
China,2021-04-30,265064000,0,0,2021-04-30,156,
Colombia,2021-04-30,4986471,3359439,1627032,2021-04-30,170,
Costa Rica,2021-04-30,818884,538682,280202,2021-04-30,188,
Cote d'Ivoire,2021-04-30,149037,149037,0,2021-04-30,384,
Croatia,2021-04-30,901120,702470,198650,2021-04-30,191,
Cyprus,2021-04-30,236265,176082,60183,2021-04-30,196,
Czechia,2021-04-30,3166781,2165000,1007986,2021-04-30,203,
Denmark,2021-04-30,1993179,1343279,649900,2021-04-30,208,
Dominica,2021-04-30,27821,18498,9323,2021-04-30,212,
Dominican Republic,2021-04-30,1970018,1174227,795791,2021-04-30,214,
Ecuador,2021-04-30,987452,748021,239431,2021-04-30,218,
El Salvador,2021-04-30,915725,839870,75855,2021-04-30,222,
Estonia,2021-04-30,459425,337088,122337,2021-04-30,233,
Ethiopia,2021-04-30,1114500,0,0,2021-04-30,231,
Finland,2021-04-30,1831007,1664774,166233,2021-04-30,246,
France,2021-04-30,22120714,15672021,6507450,2021-04-30,250,
Georgia,2021-04-30,45338,45338,0,2021-04-30,268,
Germany,2021-04-30,29663973,23131112,6538709,2021-04-30,276,
Ghana,2021-04-30,849527,849527,0,2021-04-30,288,
Greece,2021-04-30,3097693,2153560,944133,2021-04-30,300,
Grenada,2021-04-30,15397,12666,2731,2021-04-30,308,
Guatemala,2021-04-30,170833,168935,1898,2021-04-30,320,
